Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDC,ProFrac Holding Corp. Class A Common Stock,1149940192,United States,2022,604906,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,839974306,United States,2017,124329,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,96142999,United States,2018,1962315,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,36896063728,Bermuda,,1335119,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,7303362910,Bermuda,,23379,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,8373521485,Bermuda,,26334,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,6089725007,United States,,664376,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,33770183,United Kingdom,2021,27530,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,1449539370,United States,2020,10599755,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,157283168,United States,,190647,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,11322964271,United States,2020,1667223,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,499329446,United States,,211471,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,345208445,Switzerland,2016,347551,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,4140620632,United States,,368352,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,4672642688,United States,2000,515608,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,2983838440,United States,2022,566851,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,11355747708,United States,2007,765279,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,1459682162,United States,2017,1427898,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),1.87676E+11,Ireland,2001,2557727,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,282232954,United States,,23738,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,97751441,United States,,5770,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,2420033,United States,2022,120322,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,293685,United States,2022,800,Health Care,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,0,United States,2011,378003,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,100,,
ACR,ACRES Commercial Realty Corp. Common Stock,105214199,United States,,4741,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,,4906,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,3643,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,368466042,United States,2012,394773,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,90506278,United States,2015,1373452,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,218608679,United States,2022,176954,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,26788301,Canada,,11487,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,4748655322,United States,2021,254637,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,524115023,United States,,180425,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,127836231,United States,1988,14168,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,221663586,United States,2015,27256,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,2951780574,United States,2021,716524,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,32003066,United States,2021,17313,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,124404601,China,2021,7381,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,296451896,United Kingdom,2015,2193939,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,2.55132E+11,United States,1986,3005980,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,6235789998,United States,,1252520,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,,3750,,
ADCT,ADC Therapeutics SA Common Shares,253410840,,2020,699825,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,3081150,United States,,355848,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,1215283418,United States,2003,334202,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,1.15787E+11,United States,,1729451,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,4571549,United States,2018,31408,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,31337467067,United States,,4534431,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,2698259053,United States,,4580473,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,8719171,United States,2018,6038,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,2152174343,United States,2016,1022300,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,36481,United States,2018,26240,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,95544968542,United States,,1448771,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,531999650,United States,2019,1230520,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,239631250,,2022,24560,Finance,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,624721823,Ireland,,91200,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,105631102,Ireland,,140,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,53559360000,United States,,1229859,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,6700352110,United States,2018,2415135,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,413779478,United States,1994,548174,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,2481169,United States,2020,10665,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,1945450730,United States,2009,213274,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,1069636003,United States,2019,1103895,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,149034183,United States,2014,215151,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,15947886,United States,2019,1856,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,0,United States,,127811,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,8763678,Switzerland,,1649,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,68541677,United States,1980,20220,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,0,United States,2021,101,Finance,Blank Checks
AEAEU,AltEnergy Acquisition Corp. Unit,0,United States,2021,200,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,0,United States,2021,11,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,18856262146,United States,,1245452,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,576536625,United States,,58745,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,United States,2019,52940,,
AEG,Aegon Ltd. New York Registry Shares,13623724419,Netherlands,,1524522,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,33353535,China,,1067338,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,370108531,United States,1997,1554736,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),12375059,United States,2020,27498,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,4072450915,United States,1995,132962,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,34890919165,Canada,,1411145,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,5778116,United States,,1245654,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,145152695,United States,,31531,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,3893250429,United States,,5592143,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,39904683,United States,,8164,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,45917576426,United States,,2059041,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,18870338326,Netherlands,2006,937737,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,28114209,United States,2021,18535,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,12685399649,United States,,3802500,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,2211290484,United States,2023,537941,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,134231449,United States,2020,264192,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,244068593,United States,,262667,Technology,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,9413297,Canada,,13907,Health Care,Biotechnology: Pharmaceutical Preparations
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,0,Singapore,2022,6,Finance,Blank Checks
AFARW,Aura FAT Projects Acquisition Corp Warrant,0,Singapore,2022,800,Finance,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,0,United States,2002,37014,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),135583350,United States,2017,1763,Finance,Banks
AFCG,AFC Gamma Inc. Common Stock,250485179,United States,2021,148944,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,10139516915,United States,,366290,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,1980937879,United States,2019,6223,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,1762045082,United States,2019,6966,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,2063127511,United States,2020,5516,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,1605633179,United States,2020,1781,Finance,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,0,United States,2024,1710,,
AFJKU,Aimei Health Technology Co. Ltd Unit,0,United States,2023,200,,
AFL,AFLAC Incorporated Common Stock,50299051008,United States,,1585309,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,74310019,Germany,2014,179584,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,294864846,Gibraltar,,3383,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,37630883,Gibraltar,,200,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,8701858588,United States,2021,7785866,Finance,Finance: Consumer Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,0,,2011,123013,Finance,Investment Managers
AFYA,Afya Limited Class A Common Shares,1563319755,Brazil,2019,139270,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),1903617021,Canada,,5385954,Basic Materials,Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,61900826,United States,2017,290159,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,229690965,Hong Kong,2019,594748,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,25143395,Hong Kong,2019,25114,Finance,Investment Managers
AGCO,AGCO Corporation Common Stock,7056766210,United States,,713567,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0,United States,2006,89630,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,326748501,United States,2000,357023,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,5122579,United States,2021,205653,Consumer Staples,Farming/Seeds/Milling
AGI,Alamos Gold Inc. Class A Common Shares,6641943845,Canada,2015,1012304,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,2338478470,United States,2013,982788,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,2484020118,United States,2021,3236028,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,1972370048,United States,,55201,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,2808,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,2315,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,3882,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,2508,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,United States,,22394,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,15496647,Hong Kong,2018,19986,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,7036674821,United States,2008,7765746,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,17453570500,United States,,12406,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,18245923347,United States,,7423,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,18514887157,United States,,33738,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,18056921750,United States,,35761,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,17489916961,United States,,13385,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,4175770583,Bermuda,2004,246155,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,13653921915,United States,2015,1093583,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,1861611,Canada,2021,5076626,Industrials,Metal Fabrications
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,148408,Canada,2021,10751,Industrials,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,1018438471,Luxembourg,2011,456826,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,448992745,United States,2018,283135,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,964583400,United States,,211983,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),2896419472,United States,,182290,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,1256094143,United States,2018,763340,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,109362176,China,2017,36564,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,739149430,United States,2013,200765,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,21908,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,,Bermuda,,10183,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,7668,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,,Bermuda,,7170,,
AHR,American Healthcare REIT Inc. Common Stock,2039212309,,2024,915918,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,42830442,United States,2003,423015,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,United States,,2081,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,United States,,1946,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,United States,,2810,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,United States,,3175,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,United States,,507,,
AI,C3.ai Inc. Class A Common Stock,3732051502,United States,2020,3899987,Technology,Computer Software: Prepackaged Software
AIEV,Thunder Power Holdings Inc. Common Stock,53351583,United States,2022,354727,Finance,Blank Checks
AIF,Apollo Tactical Income Fund Inc. Common Stock,0,,2013,132220,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,49649003753,United States,,5067820,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,10622169,China,2018,20384,Finance,Finance: Consumer Services
AILE,iLearningEngines Inc. Common Stock,1208821446,United States,2021,171789,Technology,Computer Software: Prepackaged Software
AILEW,iLearningEngines Inc. Warrant,130955657,United States,2021,78035,Technology,Computer Software: Prepackaged Software
AIM,AIM ImmunoTech Inc. Common Stock,18922850,United States,1997,111341,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAW,Aimfinity Investment Corp. I Warrant,0,United States,2022,1600,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,5404498,United States,,112843,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,2575560000,United States,,178567,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,16895213,United States,2014,2064,Consumer Discretionary,Professional Services
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,748633190,,2019,91199,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,457310945,United States,,906181,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,293210910,United States,2021,118927,Technology,Semiconductors
AIR,AAR Corp. Common Stock,2563147502,United States,,149073,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,54711393,United States,,306701,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,65850073,United States,2016,20856,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,11054910,United States,,11227,Industrials,Military/Government/Technical
AIRJ,Montana Technologies Corporation Class A Common Stock,605513385,United States,2022,50745,Industrials,Industrial Machinery/Components
AIRJW,Montana Technologies Corporation Warrant,71585138,United States,2022,21011,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,234309705,United States,2021,12968,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,66737936,United States,,30126,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,47969617,United States,,1166,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,90552155,United States,2021,546990,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,9495239,United States,2021,14145,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,7283541776,United States,,350023,Consumer Discretionary,Industrial Specialties
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,0,United States,2024,512,,
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,0,United States,2024,806,,
AITRU,AI TRANSPORTATION ACQUISITION CORP Unit,0,United States,2023,1,,
AIU,Meta Data Limited ADS,35893052,,2018,18436,Real Estate,Other Consumer Services
AIV,Apartment Investment and Management Company Common Stock,1187582425,United States,1994,839017,Real Estate,Real Estate Investment Trusts
